url,image,name,price
https://www.ebay.com/itm/Python-Learn-Python-FAST-the-Ultimate-Crash-Course-to-Learning-the/283836506537?hash=item4215f961a9:g:eqUAAOSw1mdeh4G1,https://i.ebayimg.com/thumbs/images/g/eqUAAOSw1mdeh4G1/s-l225.jpg,Python : Learn Python FAST! - the Ultimate Crash Course to Learning the...,$5.75
https://www.ebay.com/itm/Learning-Python-Powerful-Object-Oriented-Programming-5th-Edition-by-Mark-Lutz/324146579281?epid=159818827&hash=item4b78a44751:g:xpsAAOSw8JxepIpR,https://i.ebayimg.com/thumbs/images/g/xpsAAOSw8JxepIpR/s-l225.jpg,New ListingLearning Python Powerful Object-Oriented Programming (5th Edition) by Mark Lutz,$7.99
https://www.ebay.com/itm/Deep-Learning-with-Python-by-Francois-Chollet-2018-Paperback/193391646182?epid=236737376&hash=item2d070a55e6:g:cVwAAOSw9J9d50az,https://i.ebayimg.com/thumbs/images/g/cVwAAOSw9J9d50az/s-l225.jpg,"Deep Learning with Python by Francois Chollet (2018, Paperback)",$19.99
https://www.ebay.com/itm/Monty-Python-Live-by-Chapman-Graham/193437677663?epid=72414122&hash=item2d09c8b85f:g:XGUAAOSw3axepCf3,https://i.ebayimg.com/thumbs/images/g/XGUAAOSw3axepCf3/s-l225.jpg,"New ListingMonty Python Live! by Chapman, Graham",$12.60
https://www.ebay.com/itm/The-Quick-Python-Book-by-Vernon-L-Ceder-and-Naomi-R-Ceder-2010-Paperback/254578924603?epid=74265123&hash=item3b46161c3b:g:4hMAAOSwoLFeo2tZ,https://i.ebayimg.com/thumbs/images/g/4hMAAOSwoLFeo2tZ/s-l225.jpg,"The Quick Python Book by Vernon L. Ceder and Naomi R. Ceder (2010, Paperback)",$13.99
https://www.ebay.com/itm/Mastering-object-oriented-python-Second-Edition-P-D-F/372802623810?_trkparms=ispr%3D1&hash=item56ccc49942:g:6fIAAOSwpz9dohaW&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKQAYcH4BGwQtpYi1R8mhqgF56GmlIYNb8uc%2FGJfO3g8OF%2BVsRl0w8DvKpVnUJBeuePN7VO5q0NBFBsm%2FNEM00ORwaolImi3lItLzzH7PHcvI7gGO0A51%2F3tAUuORL6AsLkOKY1QFwpK5pL%2FxH06v02i8kwT%2BJmTwhYGkQ3Dx64lnhHnXDjMgPpF84aKI16SQN7Wc6fQB6JxCoa5xqvGG3Zh%2B8p%2B2lLnKUJProjDmOsGsqvlY50pFwEkB0QUg3ywOF4PRbQ73W1PS1MStzEWeAWiJlc9uSFwlnPY3NBfzqXQ4m%2BDR5rWEjWEV8CQXzT08bjzdR510qyUlj7KhCoVRSCf4yLe%2Bisxk%2BaLMLG%2F73wFPK6rUSCMXy6a4vFB1ya0jILp51F6DLO6e1kCRzERK1QO6kG4mPyuXWbOilHK3otYi%2BUJyjrirjPf2cXa7G6AY9Fy4o1icLqxb8g6yX4s9ClHvd%2BUeZcnaalufTnK%2FVfHdEm6AfEnDEuSg8%2BjN6dgpti%2BAeBcLmBzlolKQhMZqW4R2VJZBuYgS6C9fMJi1brXeYDtOkl6xtMQjwN1asS6CNh7TZ2tx8v2rMQ%2B%2BEFJYFoii5sD%2FKqV4cVA6k11qdaLnOCnFWSW0%2F7blNCy7OAHTz30hB5vi1exBXy%2FCxF28%2Fawxu%2B8JTqf3HjP4JHuxeldE8qer3kBc8Yt8hvCjNHO4ArF9hShXYARcdLRmAOTJhm2Ono%2FXwW5ioE4wJfghcjpRI%2BvJhOGjFcmQkWtLr8BiT&checksum=372802623810eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/6fIAAOSwpz9dohaW/s-l225.jpg,Mastering object-oriented python Second Edition P.D.F,$4.55
https://www.ebay.com/itm/Python-Cookbook-3rd-Edition-Recipes-for-Mastering-Python-3-P-D-F/202959937294?_trkparms=ispr%3D1&hash=item2f415adf0e:g:atQAAOSwGXdejk02&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKxIntehGqQQl8nLx%2FEZs3Ro%2FW5IetXCAbz2SDJPu4ii3avLMwTXoH8CXvX0IcI6%2BsPdarjr5ifNQd52NfZxyOJV9ztBFToNh%2B0nfzPIyh1cGRjqURc4FU6gqt%2FdKPLzGwyMqXz8QD7%2F7Z9Ofb5Xay8vdKYpG8mDJyFuaVah%2F6ndOi8VZ0tojkM%2FZGBC6lVcp9G9ZWM0usR7c2WNLCS%2FnbOHtWoe9bY9ExWSCaNPEnz%2Fb2sjKzA9hZgSRPGEEUE0hNHYLq%2Bb7EzTHBGc0UV1Bg0wYEnm%2B22S1UgSvNJlB9ht6q3dSBlHnb5Gynw6cKogcfZaSh7YuXANfJIHrx8KCY34nXHRX%2Fj4P8j9FBf74vugyrCzbhClj9vSj5WIzxnYYVpaOESUSse1iz85mb7GfRvF0PYBZdqf9mmYL7UO%2BLVDaclH93KctWH9KLmHNT4hr4PIShmJWdUKF7h%2BoycBdVy8C6NxuNSOcrelXWuszW41BuD1V6LYZW0eI%2BoXZ6DvToAksxOFpXzDx2dXuUJ35URGvWu0FUubGgIuHmxI3HJ7%2FEDtEh6DnNScjUZjNduzTm2573QC18RFmMtqKr76YuHEuvytWMdjU0b9FsDkX%2FGBbDS17OW0tGCsZ%2BsoKMzfGB8n6PJanqhuxMfx85zCofBqOUeZgpoL2UTOoUzBvAUu1qqptjXMDUUNTd76yq7wT1hiHFidCG%2B9mFQqrqZNApmg%2FdldmUvQd8SN40WP%2BUhGxDKZBhw9xntJPY60lna%2FYU&checksum=202959937294eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/atQAAOSwGXdejk02/s-l225.jpg,"Python Cookbook, 3rd Edition: Recipes for Mastering Python 3(P.D.F)",$2.30
https://www.ebay.com/itm/Python-An-Ultimate-Beginners-Guide-to-Python-Programming-by-Gale-Gabon/184092961777?epid=234628969&hash=item2adccbabf1:g:EeQAAOSwr~lYsX7a,https://i.ebayimg.com/thumbs/images/g/EeQAAOSwr~lYsX7a/s-l225.jpg,Python : An Ultimate Beginner's Guide to Python Programming by Gale Gabon...,$10.05
https://www.ebay.com/itm/Python-Machine-Learning-Book-Sebastian-Raschka-PACKT-Open-Source/153854969269?epid=221981487&hash=item23d27885b5:g:MWUAAOSw3axeYZLQ,https://i.ebayimg.com/thumbs/images/g/MWUAAOSw3axeYZLQ/s-l225.jpg,Python Machine Learning Book Sebastian Raschka PACKT Open Source,$8.00
https://www.ebay.com/itm/Python-Geospatial-Development-Second-Edition/153830582280?epid=166700660&hash=item23d1046808:g:JJsAAOSw2FxZxbBM,https://i.ebayimg.com/thumbs/images/g/JJsAAOSw2FxZxbBM/s-l225.jpg,Python Geospatial Development - Second Edition,$3.43
